name,ring,quadrant,isNew,description,
React/nextjs,Adopt,languages & frameworks,FALSE,
TypeScript,Adopt,languages & frameworks,FALSE,
JavascriptScript,Adopt,languages & frameworks,FALSE,
Spring Boot 2,Hold,languages & frameworks,FALSE,
Spring Boot 3,Adopt,languages & frameworks,TRUE,
Java11,Hold,languages & frameworks,FALSE,
Java21,Adopt,languages & frameworks,TRUE,
Apache Camel,Adopt,languages & frameworks,FALSE,
REST,Adopt,techniques,FALSE,
GRpc,Assess,techniques,TRUE,
GraphQL,Assess,techniques,TRUE,
.NET Azure Functions,Adopt,platforms,TRUE,
Lambda Functions,Assess,platforms,TRUE,
Spring Apps,Trial,platforms,TRUE,
Azure API Management,Hold,platforms,TRUE,"Azure APIM has been put on hold because of the high cost it comes with"
AWS Api Gateway,Adopt,platforms,TRUE,
Python,Adopt,languages & frameworks,FALSE,
Oracle,Adopt,platforms,FALSE,
SQL Server,Adopt,platforms,FALSE,
Postgresql,Hold,platforms,TRUE,"Postgresql has been abandonned because the bank does not have admins that could deal ith this kind of database. In the end, the only viable solution in the cloud will be SqlServer (either Azure SQL Database or SQL Managed instance)"
MongoDB (NoSQL),Assess,platforms,TRUE,
NoSQL,Assess,techniques,TRUE,
Nexus,Adopt,platforms,FALSE,
Azure Artifacts,Assess,platforms,TRUE,
Jenkins,Adopt,tools,FALSE,
GitHub Actions,Adopt,tools,FALSE,
Docker,Assess,platforms,TRUE,
AKS,Trial,platforms,TRUE,
JUnit,Adopt,tools,FALSE,
JMeter,Adopt,tools,FALSE,
OpenTelemetry,Trial,tools,TRUE,
Slack,Hold,tools,FALSE,
GitHub,Adopt,platforms,FALSE,
GitLab,Adopt,platforms,FALSE,
SonarQube,Adopt,tools,FALSE,
OpenAI,Adopt,platforms,FALSE,
GitHub Copilot,Assess,tools,TRUE,
